type,Lat,Lon,start year,end year,magnitude,extent,description of event
Intra-State War #613,,,1885,1885,,,Peru's National Problem of 1885
Inter-State War #70,,,1885,1885,,,Second Central American War of 1885
Extra-State War #390,,,1885,1885,,,Russo-Afgan War of 1885
Non-State War #1559,,,1885,1889,,,Ethiopia-Mahdi War of 1885-1889
Extra-State War #389,,,1885,1886,,,French Mandinka War of 1885-1886
Extra-State War #391,,,1885,1885,,,Serbian-Bulgarian War of 1885
Extra-State War #387,,,1885,1889,,,Third British-Burmese War of 1885-1889
Extra-State War #392,,,1887,1887,,,First Italian-Ethiopian War of 1887
Extra-State War #393,,,1888,1888,,,Zambezi Conquest of 1888
Non-State War #1560,,,1888,1889,,,German East Africa Company War of 1888-1889
Extra-State War #394,,,1890,1890,,,First Franco-Dahomeyan War of 1890
Intra-State War #616,,,1890,1892,,,First Yemeni Rebellion of 1890-1892
Extra-State War #395,,,1890,1891,,,Franco-Jolof War of 1890-1891
Intra-State War #617,,,1891,1891,,,Second Chilean War of 1891
,,,,,,,
Intra-State War #618,,,1891,1891,,,Zaili-Jinden Revolt of 1891
Extra-State War #396,,,1892,1893,,,Second Franco-Dahomeyan War of 1892-1893
Extra-State War #397,,,1892,1894,,,Belgian-TibWar of 1892-1894
Intra-State War #620,,,1893,1894,,,Brazil Federalists War of 1893-1894
Non-State War #1561,,,1893,1893,,,Rabih Zubayr-Bornu War of 1893
Intra-State War #621,,,1893,1894,,,Brazil Naval War of 1893-1894
Extra-State War #398,,,1893,1894,,,Third British-Ashanti War of 1893-1894
Extra-State War #399,,,1893,1894,,,Melilla War of 1893-1894
Extra-State War #400,,,1893,1894,,,Mahdist-Italian War of 1893-1894
Intra-State War #623,,,1894,1894,,,Tonghak Rebellion of 1894
Extra-State War #401,,,1894,1895,,,Second Franco-Madagascan War of 1894-1895
Extra-State War #402,,,1894,1894,,,Second Dutch-Bali War of 1894
Inter-State War #73,,,1894,1895,,,First Sino-Japanese War of 1894-1895
Intra-State War #625,,,1894,1895,,,Third Peru War of 1894-1895
Intra-State War #626,,,1895,1895,,,Fifth Colombian War of 1895
Extra-State War #403,,,1895,1895,,,Portuguese-Gaza Empire War of 1895
Intra-State War #627,,,1895,1898,,,Ecuador Liberals War of 1895
Extra-State War #404,,,1895,1896,,,Second Spanish-Cuban War of 1895-1898
Intra-State War #628,,,1895,1896,,,First Gansu Muslim War of 1895-1896
Extra-State War #405,,,1895,1895,,,Japan-Taiwanese War of 1895
Extra-State War #406,,,1895,1896,,,Mazrui Rebellion of 1895-1896
Intra-State War #630,,,1895,1896,,,Druze-Turkish War of 1895-1896
Extra-State War #407,,,1895,1896,,,Second Italian-Ethiopian War of 1895-1896
Intra-State War #631,,,1896,1897,,,Second Cretan War of 1896-1897
Extra-State War #409,,,1896,1899,,,Second Second British-Mahdi War of 1896-1899
Extra-State War #410,,,1896,1898,,,Spanish-Philippine War of 1896-1898
Intra-State War #632,,,1896,1897,,,Third Brazil-Canudos War of 1896-1897
Extra-State War #411,,,1897,1897,,,British-South Nigerian War of 1897
Inter-State War #76,,,1897,1897,,,Greco-Turkish War of 1897
Extra-State War #412,,,1897,1898,,,British-Pathan War of 1897-1898
Extra-State War #413,,,1898,1898,,,Hut Tax War of 1898
Inter-State War #79,,,1898,1898,,,Spanish-American War of 1898
Extra-State War #414,,,1899,1802,,,American-Philippine War of 1899-1902
Intra-State War #633,,,1899,1899,,,Fourth Venezuelan War of 1899
Extra-State War #415,,,1899,1900,,,French Conquest of Chad of 1899-1900
Intra-State War #635,,,1899,1900,,,Second Yaqui War of 1899-1900
Extra-State War #416,,,1899,1902,,,Second Boer War of 1899-1902
Intra-State War #636,,,1899,1902,,,"Sixth Colombian (War of the 1,000 Days) of 18991902"
Extra-State War #417,,,1900,1900,,,Last Ashanti War of 1900
Inter-State War #82,,,1900,1900,,,Boxer Rebellion of 1900
Inter-State War #83,,,1900,1900,,,Sino-Russian War of 1900
Extra-State War #419,,,1901,1904,,,Somali Rebellion of 1901-1904
Intra-State War #638,,,1901,1903,,,Fifth Venezuelan War of 1901-1903
,,,,,,,
Extra-State War #420,,,1902,1903,,,Bailundu Revolt of 1902-1903
Extra-State War #421,,,1902,1904,,,Kuanhama Rebellion of 1902-1904
Extra-State War #422,,,1903,1903,,,British Conquest of Kano and Sokoto of 1903
Intra-State War #640,,,1903,1903,,,Ilinden War of 1903
Intra-State War #641,,,1904,1904,,,First Uruguay War of 1904
Extra-State War #423,,,1904,1906,,,South West African Revolt of 1904-1906
Inter-State War #85,,,1904,1905,,,Russo-Japanese War of 1904-1905
Extra-State War #424,,,1904,1907,,,Second Dutch-Achinese War of 1904-1907
Extra-State War #425,,,1904,1904,,,Younghusband Expedition of 1904
Intra-State War #642,,,1904,1906,,,Second Yemeni Rebellion of 1904-1906
Intra-State War #643,,,1905,1906,,,Bloody Sunday War of 1905-1906
Extra-State War #426,,,1905,1906,,,Maji-Maji Revolt of 1905-1906
Extra-State War #427,,,1906,1906,,,Sokoto Uprising of 1906
Extra-State War #429,,,1906,1906,,,Third British-Zulu War of 1906
Inter-State War #88,,,1906,1906,,,Third Central American War of 1906
Inter-State War #91,,,1907,1907,,,Fourth Central American War of 1907
Intra-State War #645,,,1907,1910,,,Romanian Peasant Revolt of 1907
Extra-State War #430,,,1907,1910,,,Dembos War of 1907-1910
Extra-State War #431,,,1907,1910,,,Anti-Foreign Revolt of 1907-1910
Extra-State War #432,,,1907,1910,,,Japan-Korean Guerrillas War of 1907-1910
Intra-State War #646,,,1907,1908,,,Overthrow of Abd el-Aziz of 1907-1908
Intra-State War #647,,,1908,1909,,,Iranian Constitution War of 1908-1909
Intra-State War #648,,,1909,1909,,,Young Turks Counter-coup of 1909
Extra-State War #433,,,1909,1911,,,French Conquest of Wadai of 1909-1911
Inter-State War #94,,,1909,1910,,,Second Spanish-Moroccan War of 1909-1910
Intra-State War #650,,,1910,1912,,,Second Albanian Revolt of 1910-1912
Intra-State War #651,,,1910,1911,,,Asir-Yemen Revolt of 1910-1911
Intra-State War #652,,,1910,1914,,,Third Mexican War of 1910-1914
Intra-State War #656,,,1911,1912,,,Paraguay War of 1911-1912
Inter-State War #97,,,1911,1912,,,Italian-Turkish War of 1911-1912
Intra-State War #657,,,1911,1911,,,First Nationalists War of 1911
Extra-State War #434,,,1912,1912,,,French-Berber War of 1912
Extra-State War #435,,,1912,1913,,,First Sino-Tibetan War of 1912-1913
Intra-State War #658,,,1912,1912,,,Cuban Black Uprising of 1912
Intra-State War #670,,,1912,1914,,,Ecuadorian Civil War of 1912-1914
Inter-State War #100,,,1912,1913,,,First Balkan War of 1912-1913
Extra-State War #436,,,1913,1915,,,Moroccan-Berber War of 1913-1915
Extra-State War #437,,,1913,1913,,,Moro Rebellion of 1913
Inter-State War #103,,,1913,1913,,,Second Balkan War of 1913
Intra-State War #671,,,1913,1913,,,Second Nationalists War of 1913
Intra-State War #672,,,1914,1914,,,China Pai Ling (White Wolf) War of 1914
Inter-State War #106,,,1914,1918,,,World War I of 1914-1918
Intra-State War #673,,,1914,1920,,,Fourth Mexican War of 1914-1920
Intra-State War #675,,,1916,1918,,,Southern China Revolt of 1916-1918
