"X","year","boat","volume","type","country","port","long","lat","distance"
233,1862,"41",10570,"vessel","brazil","Rio de Janeiro",-22.9110136,-43.2093726,5838
234,1862,"",NA,"vessel","",NA,NA,NA,NA
238,1863,"7268",178057,"vessel","austria","",47.2000338,13.199959,0
239,1863,"468",89285,"steamboat","austria","",47.2000338,13.199959,0
240,1863,"621",36171,"vessel","papal state","Ancona",43.6170137,13.5170982,130
241,1863,"4",1139,"steamboat","papal state","Ancona",43.6170137,13.5170982,130
242,1863,"543",33932,"vessel","neaples",NA,NA,NA,NA
243,1863,"1",295,"steamboat","neaples",NA,NA,NA,NA
244,1863,"135",25973,"vessel","sicily","Palermo",38.11127,13.3534422,753
245,1863,"",NA,"steamboat","sicily","Palermo",38.11127,13.3534422,753
246,1863,"128",9000,"vessel","ionic islands",NA,NA,NA,NA
247,1863,"53",11383,"steamboat","ionic islands",NA,NA,NA,NA
248,1863,"212",27341,"vessel","greece","Thessaloniki",40.6403167,22.9352716,1056
249,1863,"",NA,"steamboat","greece","Thessaloniki",40.6403167,22.9352716,1056
250,1863,"13",2848,"vessel","toscana","Livorno",43.5426309,10.3160295,1047
251,1863,"",NA,"steamboat","toscana","Livorno",43.5426309,10.3160295,1047
252,1863,"36",6370,"vessel","sardegna","Cagliari",39.2169525,9.1128513,947
253,1863,"",NA,"steamboat","sardegna","Cagliari",39.2169525,9.1128513,947
254,1863,"129",31576,"vessel","mediterranean france","Marseille",43.2961743,5.3699525,1210
255,1863,"",NA,"steamboat","mediterranean france","Marseille",43.2961743,5.3699525,1210
256,1863,"21",6945,"vessel","atlantic france ","Le Havre",49.4938975,0.1079732,2804
257,1863,"12",3690,"vessel","algeria","Algiers",28.0000272,2.9999825,1254
258,1863,"10",2797,"vessel","spain","Barcelona",41.3825596,2.1771353,1313
259,1863,"2",510,"vessel","portugal","Lisbon",38.7077926,-9.1365069,1947
260,1863,"24",3447,"vessel","uk – malta","",51.8246673,-0.3402597,730
261,1863,"",NA,"steamboat","uk – malta","",51.8246673,-0.3402597,730
262,1863,"45",15010,"vessel","uk –","London",51.5073219,-0.1276473,2968
263,1863,"63",58975,"steamboat","uk –","London",51.5073219,-0.1276473,2968
264,1863,"22",3853,"vessel","low countries","Rotterdam",51.92779805,4.48862326926,3009
265,1863,"9",3397,"steamboat","low countries","Rotterdam",51.92779805,4.48862326926,3009
266,1863,"3",NA,"vessel","belgium ",NA,NA,NA,NA
267,1863,"10",1718,"vessel","hamburg","",53.5503414,10.000654,3262
268,1863,"2",334,"vessel","bremen",NA,NA,NA,NA
269,1863,"2",323,"vessel","prussia","Rostok",54.0924445,12.1286127,3669
270,1863,"",NA,"vessel","denmark","Copenhagen",55.6867243,12.5700724,3560
271,1863,"2",231,"vessel","sweden and norway",NA,NA,NA,NA
272,1863,"7",1077,"vessel","russia baltic sea ","St Petersburg",27.7703796,-82.6695084,4251
273,1863,"7",1618,"vessel","russia black sea ","Novorossiysk",44.7239578,37.7690711,1608
274,1863,"297",36399,"vessel","turkey","Izmir",38.4153421,27.144474,1007
275,1863,"160",61397,"steamboat","turkey","Izmir",38.4153421,27.144474,1007
276,1863,"",NA,"vessel","moldavia","",47.286747,28.5110236,1400
277,1863,"3",841,"steamboat","moldavia","",47.286747,28.5110236,1400
278,1863,"6",1683,"vessel","valacchia",NA,NA,NA,NA
279,1863,"",NA,"steamboat","valacchia",NA,NA,NA,NA
280,1863,"75",24934,"vessel","egypt","Alexandria",31.1990035,29.8943785,1191
281,1863,"64",43163,"steamboat","egypt","Alexandria",31.1990035,29.8943785,1191
282,1863,"2",636,"vessel","african uk","South Africa",-28.8166235,24.991639,6700
283,1863,"1",143,"vessel","african spain","Puertos de Las Palmas, Canarias",28.1216268,-15.4058906,2345
284,1863,"1",163,"vessel","s. domingo","",-20.9514413,-41.3408739,5217
285,1863,"8",3377,"vessel","usa","New York",40.7305991,-73.9865811,4854
286,1863,"1",199,"vessel","american denmanrk",NA,NA,NA,NA
287,1863,"1",179,"vessel","argentina","Buenos Aires",-34.6143904,-58.4460878,6937
288,1863,"42",9387,"vessel","brazil","Rio de Janeiro",-22.9110136,-43.2093726,5838
289,1863,"",NA,"vessel","",NA,NA,NA,NA
293,1864,"6757",168865,"vessel","austria","",47.2000338,13.199959,0
294,1864,"432",97478,"steamboat","austria","",47.2000338,13.199959,0
295,1864,"682",40335,"vessel","papal state","Ancona",43.6170137,13.5170982,130
296,1864,"42",5175,"steamboat","papal state","Ancona",43.6170137,13.5170982,130
297,1864,"510",34362,"vessel","neaples",NA,NA,NA,NA
298,1864,"1",143,"steamboat","neaples",NA,NA,NA,NA
299,1864,"169",28912,"vessel","sicily","Palermo",38.11127,13.3534422,753
300,1864,"",NA,"steamboat","sicily","Palermo",38.11127,13.3534422,753
301,1864,"66",4689,"vessel","ionic islands",NA,NA,NA,NA
302,1864,"",NA,"steamboat","ionic islands",NA,NA,NA,NA
303,1864,"174",23930,"vessel","greece","Thessaloniki",40.6403167,22.9352716,1056
304,1864,"1",497,"steamboat","greece","Thessaloniki",40.6403167,22.9352716,1056
305,1864,"7",1244,"vessel","toscana","Livorno",43.5426309,10.3160295,1047
306,1864,"",NA,"steamboat","toscana","Livorno",43.5426309,10.3160295,1047
307,1864,"30",5322,"vessel","sardegna","Cagliari",39.2169525,9.1128513,947
308,1864,"",NA,"steamboat","sardegna","Cagliari",39.2169525,9.1128513,947
309,1864,"153",40386,"vessel","mediterranean france","Marseille",43.2961743,5.3699525,1210
310,1864,"",NA,"steamboat","mediterranean france","Marseille",43.2961743,5.3699525,1210
311,1864,"42",13483,"vessel","atlantic france","Le Havre",49.4938975,0.1079732,2804
312,1864,"",NA,"steamboat","atlantic france","Le Havre",49.4938975,0.1079732,2804
313,1864,"10",3507,"vessel","algeria","Algiers",28.0000272,2.9999825,1254
314,1864,"9",2838,"vessel","spain","Barcelona",41.3825596,2.1771353,1313
315,1864,"1",249,"vessel","portugal","Lisbon",38.7077926,-9.1365069,1947
316,1864,"31",4553,"vessel","uk – malta","",51.8246673,-0.3402597,730
317,1864,"",NA,"steamboat","uk – malta","",51.8246673,-0.3402597,730
318,1864,"1",528,"vessel","uk – gibraltar –","",51.791921,-0.90223,1664
319,1864,"",NA,"steamboat","uk – gibraltar –","",51.791921,-0.90223,1664
320,1864,"63",20042,"vessel","uk –","London",51.5073219,-0.1276473,2968
321,1864,"44",34649,"steamboat","uk –","London",51.5073219,-0.1276473,2968
322,1864,"10",1521,"vessel","low countries","Rotterdam",51.92779805,4.48862326926,3009
323,1864,"6",2280,"steamboat","low countries","Rotterdam",51.92779805,4.48862326926,3009
324,1864,"3",697,"vessel","belgium ",NA,NA,NA,NA
325,1864,"11",1709,"vessel","hamburg","",53.5503414,10.000654,3262
326,1864,"1",139,"vessel","bremen",NA,NA,NA,NA
327,1864,"",NA,"vessel","prussia","Rostok",54.0924445,12.1286127,3669
328,1864,"1",162,"vessel","denmark","Copenhagen",55.6867243,12.5700724,3560
329,1864,"1",153,"vessel","sweden and norway",NA,NA,NA,NA
330,1864,"6",1069,"vessel","russia baltic sea ","St Petersburg",27.7703796,-82.6695084,4251
331,1864,"4",1240,"vessel","russia black sea","Novorossiysk",44.7239578,37.7690711,1608
332,1864,"",NA,"steamboat","russia black sea","Novorossiysk",44.7239578,37.7690711,1608
333,1864,"264",35929,"vessel","turkey","Izmir",38.4153421,27.144474,1007
334,1864,"162",60924,"steamboat","turkey","Izmir",38.4153421,27.144474,1007
335,1864,"4",934,"vessel","moldavia","",47.286747,28.5110236,1400
336,1864,"",NA,"steamboat","moldavia","",47.286747,28.5110236,1400
337,1864,"1",187,"vessel","valacchia",NA,NA,NA,NA
338,1864,"1",264,"steamboat","valacchia",NA,NA,NA,NA
339,1864,"108",39057,"vessel","egypt","Alexandria",31.1990035,29.8943785,1191
340,1864,"122",83354,"steamboat","egypt","Alexandria",31.1990035,29.8943785,1191
341,1864,"1",49,"vessel","tunis","",33.8439408,9.400138,930
342,1864,"5",2756,"vessel","usa","New York",40.7305991,-73.9865811,4854
343,1864,"1",563,"vessel","american uk","Quebec City, Canada",46.8257374,-71.2349113,4689
344,1864,"1",673,"vessel","mexico –",NA,NA,NA,NA
345,1864,"5",6983,"steamboat","mexico –",NA,NA,NA,NA
346,1864,"2",348,"vessel","argentina","Buenos Aires",-34.6143904,-58.4460878,6937
347,1864,"52",11061,"vessel","brazil","Rio de Janeiro",-22.9110136,-43.2093726,5838
348,1864,"2",868,"vessel","asian uk","Calcutta, India",22.5677459,88.3476023,5985
349,1864,"",NA,"vessel","",NA,NA,NA,NA
353,1865,"6639",162336,"vessel","austria","",47.2000338,13.199959,0
354,1865,"423",94360,"steamboat","austria","",47.2000338,13.199959,0
355,1865,"579",34258,"vessel","papal state","Ancona",43.6170137,13.5170982,130
356,1865,"38",5606,"steamboat","papal state","Ancona",43.6170137,13.5170982,130
357,1865,"551",35762,"vessel","neaples",NA,NA,NA,NA
358,1865,"",NA,"steamboat","neaples",NA,NA,NA,NA
359,1865,"171",28961,"vessel","sicily","Palermo",38.11127,13.3534422,753
360,1865,"45",2723,"vessel","ionic islands",NA,NA,NA,NA
361,1865,"42",9027,"steamboat","ionic islands",NA,NA,NA,NA
362,1865,"173",24052,"vessel","greece","Thessaloniki",40.6403167,22.9352716,1056
363,1865,"",NA,"steamboat","greece","Thessaloniki",40.6403167,22.9352716,1056
364,1865,"13",2915,"vessel","toscana","Livorno",43.5426309,10.3160295,1047
365,1865,"",NA,"steamboat","toscana","Livorno",43.5426309,10.3160295,1047
366,1865,"48",9462,"vessel","sardegna","Cagliari",39.2169525,9.1128513,947
367,1865,"",NA,"steamboat","sardegna","Cagliari",39.2169525,9.1128513,947
368,1865,"211",50255,"vessel","mediterranean france","Marseille",43.2961743,5.3699525,1210
369,1865,"1",500,"steamboat","mediterranean france","Marseille",43.2961743,5.3699525,1210
370,1865,"57",21821,"vessel","atlantic france","Le Havre",49.4938975,0.1079732,2804
371,1865,"18",6107,"vessel","algeria","Algiers",28.0000272,2.9999825,1254
372,1865,"6",905,"vessel","spain","Barcelona",41.3825596,2.1771353,1313
373,1865,"4",1108,"vessel","portugal","Lisbon",38.7077926,-9.1365069,1947
374,1865,"30",4388,"vessel","uk – malta","",51.8246673,-0.3402597,730
375,1865,"",NA,"steamboat","uk – malta","",51.8246673,-0.3402597,730
376,1865,"3",1168,"vessel","uk – gibraltar –","",51.791921,-0.90223,1664
377,1865,"",NA,"steamboat","uk – gibraltar –","",51.791921,-0.90223,1664
378,1865,"116",45326,"vessel","uk –","London",51.5073219,-0.1276473,2968
379,1865,"44",43451,"steamboat","uk –","London",51.5073219,-0.1276473,2968
380,1865,"13",2458,"vessel","low countries","Rotterdam",51.92779805,4.48862326926,3009
